userID,itemID,prediction
3,130907,-21.936018
3,98786,-22.039988
3,38567,-22.16014
3,111197,-22.272669
3,22482,-22.358902
3,90610,-22.3942
3,66667,-22.481264
3,92145,-22.490034
3,48445,-22.49794
3,3766,-22.499922
3,132055,-22.51698
3,74754,-22.536003
3,101641,-22.540531
3,14570,-22.541914
3,72538,-22.54258
3,124798,-22.545107
3,74282,-22.548763
3,42278,-22.560783
3,60811,-22.56151
3,50668,-22.5765
3,115800,-22.591648
3,92147,-22.60297
3,109906,-22.60388
3,92144,-22.604795
3,63721,-22.613993
3,14566,-22.619598
3,100440,-22.622154
3,107047,-22.629423
3,38655,-22.631544
3,145526,-22.63539
5,130907,-21.72712
5,98786,-21.940779
5,38567,-21.950455
5,111197,-21.967117
5,22482,-22.038944
5,48445,-22.112803
5,101641,-22.119879
5,66667,-22.166304
5,90610,-22.1664
5,92145,-22.17496
5,3766,-22.189726
5,50668,-22.218702
5,60811,-22.22911
5,100440,-22.2413
5,92147,-22.24479
5,19600,-22.24671
5,72538,-22.269459
5,124798,-22.282526
5,14570,-22.282564
5,115800,-22.297955
5,74282,-22.299065
5,109906,-22.29959
5,63721,-22.299675
5,132055,-22.307543
5,107047,-22.315754
5,31917,-22.318882
5,127363,-22.322075
5,95922,-22.322187
5,92144,-22.324484
5,34317,-22.33032
6,24022,-22.207748
6,70361,-22.239725
6,19600,-22.261122
6,99388,-22.303993
6,59153,-22.334936
6,113665,-22.35319
6,108717,-22.390476
6,130907,-22.45369
6,78613,-22.45834
6,56700,-22.4638
6,22342,-22.470896
6,48700,-22.473137
6,98786,-22.486057
6,42287,-22.535875
6,93660,-22.537539
6,102465,-22.553179
6,142360,-22.55371
6,22334,-22.580414
6,121229,-22.582947
6,66667,-22.583967
6,21902,-22.585419
6,50668,-22.58746
6,132943,-22.592068
6,34317,-22.609917
6,92147,-22.623726
6,72956,-22.625797
6,127363,-22.62761
6,48445,-22.628782
6,42211,-22.63952
6,88275,-22.64489
10,130907,-20.238037
10,98786,-20.473438
10,38567,-20.616257
10,111197,-20.619883
10,48445,-20.778248
10,22482,-20.78958
10,66667,-20.801287
10,101641,-20.801292
10,19600,-20.83858
10,92145,-20.8405
10,50668,-20.903414
10,90610,-20.90579
10,100440,-20.919538
10,92147,-20.922178
10,3766,-20.950243
10,60811,-20.955013
10,72538,-20.980711
10,124798,-20.986628
10,93660,-20.994236
10,14570,-21.00703
10,109906,-21.007364
10,127363,-21.01186
10,115800,-21.026926
10,18315,-21.028564
10,99388,-21.032724
10,34317,-21.041164
10,132055,-21.05137
10,95922,-21.052856
10,131966,-21.060415
10,92144,-21.060675
25,130907,-23.375923
25,38567,-23.490746
25,98786,-23.533741
25,111197,-23.610044
25,22482,-23.617668
25,90610,-23.768568
25,3766,-23.80241
25,101641,-23.906641
25,48445,-23.920515
25,107047,-23.923977
25,63721,-23.94219
25,72538,-23.966816
25,66667,-23.970776
25,40292,-23.972027
25,60811,-23.975025
25,92145,-23.979109
25,115800,-23.981058
25,132055,-23.98355
25,74282,-23.984995
25,145705,-23.98666
25,50668,-23.989866
25,14570,-24.013527
25,18315,-24.025196
25,109906,-24.030672
25,115816,-24.052023
25,124798,-24.054028
25,92144,-24.056065
25,92147,-24.056751
25,145526,-24.071344
25,72854,-24.073462
29,130907,-23.861494
29,38567,-23.874348
29,22482,-23.908304
29,111197,-23.972973
29,98786,-24.001415
29,90610,-24.032726
29,3766,-24.081215
29,107047,-24.13202
29,145705,-24.132841
29,63721,-24.15011
29,74282,-24.15484
29,40292,-24.169348
29,111497,-24.185661
29,101641,-24.197039
29,132055,-24.202614
29,60811,-24.20427
29,48445,-24.205635
29,72538,-24.225962
29,14570,-24.226843
29,115800,-24.236214
29,115816,-24.237755
29,72854,-24.238594
29,66667,-24.245283
29,92145,-24.24688
29,17195,-24.248325
29,38655,-24.250172
29,72849,-24.250628
29,50668,-24.252151
29,111491,-24.254438
29,134709,-24.258667
33,130907,-23.360792
33,19600,-23.43883
33,98786,-23.461815
33,70361,-23.50969
33,99388,-23.529016
33,59153,-23.579893
33,101641,-23.581203
33,48445,-23.59207
33,111197,-23.593916
33,24022,-23.621508
33,113665,-23.643682
33,108717,-23.645922
33,66667,-23.647234
33,93660,-23.648195
33,50668,-23.662098
33,38567,-23.662233
33,92147,-23.667292
33,100440,-23.668015
33,56700,-23.66973
33,92145,-23.674965
33,142360,-23.689573
33,21902,-23.695711
33,132943,-23.697838
33,48700,-23.710863
33,34317,-23.724258
33,127363,-23.733067
33,31917,-23.737923
33,60811,-23.74632
33,3766,-23.747496
33,18315,-23.747946
44,98786,-25.16033
44,130907,-25.16872
44,38567,-25.253977
44,111197,-25.349466
44,22482,-25.353693
44,90610,-25.39259
44,3766,-25.411459
44,18315,-25.419277
44,92145,-25.421406
44,48445,-25.427982
44,101641,-25.428743
44,72538,-25.436466
44,132055,-25.43824
44,124798,-25.444908
44,66667,-25.446692
44,138293,-25.44682
44,42278,-25.448254
44,60811,-25.448381
44,115800,-25.450546
44,74282,-25.454689
44,63721,-25.463923
44,92144,-25.46512
44,74754,-25.466024
44,38655,-25.470142
44,109906,-25.470373
44,14570,-25.474928
44,107047,-25.475098
44,145705,-25.48551
44,144295,-25.48672
44,92147,-25.489634
48,24022,-23.678364
48,113665,-23.81958
48,108717,-23.82184
48,99388,-23.86736
48,78613,-23.88668
48,70361,-23.892414
48,48700,-23.939262
48,121229,-23.945705
48,59153,-23.963856
48,19600,-23.993834
48,22342,-24.012188
48,56700,-24.022331
48,102465,-24.025618
48,42287,-24.02698
48,88275,-24.030151
48,47189,-24.05828
48,51462,-24.073019
48,22332,-24.073444
48,42211,-24.07758
48,51475,-24.083893
48,98786,-24.084671
48,37441,-24.089079
48,72956,-24.09277
48,132943,-24.096354
48,73703,-24.098722
48,24043,-24.098808
48,90516,-24.101854
48,123790,-24.102085
48,64877,-24.103792
48,22334,-24.107592
51,130907,-23.937305
51,38567,-24.02235
51,22482,-24.078386
51,111197,-24.093792
51,98786,-24.098013
51,90610,-24.205742
51,3766,-24.248419
51,101641,-24.292456
51,48445,-24.296345
51,63721,-24.31892
51,74282,-24.319569
51,107047,-24.322811
51,60811,-24.324814
51,66667,-24.328384
51,92145,-24.335743
51,40292,-24.352182
51,132055,-24.355389
51,14570,-24.356857
51,72538,-24.357609
51,50668,-24.362165
51,145705,-24.37223
51,115800,-24.382044
51,124798,-24.394804
51,115816,-24.398775
51,92144,-24.404987
51,145526,-24.408287
51,92147,-24.410988
51,109906,-24.411509
51,72854,-24.415089
51,98179,-24.418272
59,22334,-22.279785
59,24022,-22.765781
59,78613,-23.168648
59,108717,-23.285585
59,113665,-23.320084
59,75616,-23.415958
59,121229,-23.437523
59,88275,-23.490417
59,37441,-23.49454
59,100805,-23.571695
59,93358,-23.602076
59,48700,-23.646704
59,99388,-23.676647
59,86479,-23.682161
59,22332,-23.6989
59,51462,-23.719017
59,70361,-23.730413
59,24043,-23.769657
59,42287,-23.776253
59,42211,-23.790453
59,84419,-23.802103
59,88276,-23.803108
59,47189,-23.814686
59,102465,-23.816904
59,120535,-23.826975
59,102455,-23.853891
59,64877,-23.854956
59,74304,-23.855991
59,73703,-23.856049
59,72454,-23.856388
65,22334,-25.221704
65,19600,-25.808134
65,120786,-25.844927
65,70361,-25.846739
65,59153,-25.912773
65,142360,-26.049797
65,56700,-26.050491
65,142150,-26.073395
65,22342,-26.102861
65,93660,-26.13271
65,82882,-26.133257
65,100805,-26.136372
65,23518,-26.139687
65,21902,-26.146729
65,40700,-26.148878
65,6668,-26.164225
65,74210,-26.177933
65,140019,-26.182415
65,99388,-26.182953
65,74826,-26.184643
65,73703,-26.188292
65,109879,-26.197916
65,136151,-26.200962
65,122707,-26.20252
65,100440,-26.20371
65,114948,-26.20491
65,138985,-26.212072
65,38175,-26.215025
65,86026,-26.21765
65,138338,-26.221064
71,130907,-20.011616
71,98786,-20.13909
71,19600,-20.244745
71,111197,-20.306923
71,101641,-20.331572
71,38567,-20.342949
71,48445,-20.34545
71,70361,-20.386774
71,66667,-20.390705
71,99388,-20.401539
71,92145,-20.408913
71,100440,-20.426178
71,93660,-20.430708
71,92147,-20.444014
71,50668,-20.44944
71,59153,-20.452469
71,60811,-20.510391
71,22482,-20.51596
71,3766,-20.522118
71,18315,-20.527575
71,127363,-20.529455
71,142360,-20.531605
71,31917,-20.536097
71,95922,-20.537283
71,34317,-20.543541
71,21902,-20.544212
71,109906,-20.544456
71,72538,-20.54893
71,115800,-20.55055
71,132943,-20.559917
72,130907,-23.526358
72,98786,-23.64549
72,111197,-23.76954
72,19600,-23.784948
72,38567,-23.821417
72,99388,-23.83498
72,48445,-23.839375
72,101641,-23.85053
72,66667,-23.863873
72,70361,-23.877424
72,50668,-23.882599
72,92145,-23.912424
72,92147,-23.912708
72,59153,-23.933725
72,100440,-23.93759
72,93660,-23.940014
72,3766,-23.952984
72,113665,-23.95477
72,24022,-23.957594
72,34317,-23.962097
72,18315,-23.966206
72,127363,-23.96729
